id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Golden Hour,Indigo Parade,indie pop,happy,0.71,120,0.88,0.77,0.40
12,Deep Focus,LoRoom,lofi,focused,0.38,76,0.52,0.57,0.82
13,Thunder Alley,Voltline,rock,intense,0.95,148,0.44,0.63,0.08
14,Slow Tide,Orbit Bloom,ambient,relaxed,0.24,58,0.61,0.38,0.94
15,Neon Nights,Neon Echo,synthwave,moody,0.78,112,0.51,0.75,0.19
16,Velvet Lounge,Slow Stereo,jazz,relaxed,0.41,96,0.69,0.58,0.85
17,Power Sprint,Max Pulse,pop,intense,0.90,138,0.74,0.86,0.06
18,Rainy Window,Paper Lanterns,lofi,chill,0.33,70,0.58,0.55,0.88